lakk,ka'umsa,ka'umsa,ga'umsa,nama,a,a,a,a,d,s
masculine,,"<h3>Cibra</h3> 1] kormaya, dhiira",,,,,,,,
Maseru,,<h3>Maqqofee</h3> 1] magaalaa guddoo biyya Leseetoo,,,,,,,,
mash,,<h3>Gochima</h3> 1] lanqaxuu,,,,,,,,
masher,,<h3>Cibra</h3> 1] meeshaa waan akka dinnichaa ittiin daakan,,,,,,,,
mask,,<h3>Cibra</h3> 1] addoo,,,,,,,,
Mask (ICT),,"<h3>Cibra</h3> 1] Haguuggee, Haguuguu, Haguuggee, (ICT, Jecha Kompiitaraa)",,,,,,,,
masochism,,<h3>Cibra</h3> 1] waanta nama dhiphisutti gammaduu,,,,,,,,
masochist,,<h3>Cibra</h3> 1] waanta nama dhiphisuutti kan gammadu.,,,,,,,,
mason,,<h3>Cibra</h3> 1] ogeessa dhagaadhaan mana ijaaru yookiin dhagaa soofu,,,,,,,,
masonry,,<h3>Cibra</h3> 1] dhagaa fi simmintoodhaan kan ijaarame,,,,,,,,
masquerade,,<h3>Cibra</h3> 1] gochaa dhugaa fakkaatu garuu kan hin taane,,,,,,,,
mass,,"<h3>Cibra</h3> 1] uummata, saba, jamaa, liiban, kolbaa 2] ulfina (kan meeshaa) 3] kadhannaa, sirna qulqulleessummaa, qulqulleessina (qiddaasee)",,,,,,,,
massacre,,<h3>Gochima</h3> 1] ajjeesuu (namoota baay'ee si'a tokkotti) 2] garaagarummaa qabxii guddaatiin mo'uu (ispoortirratti),,,,,,,,
massage,,"<h3>Gochima</h3> 1] dhidhiibuu, sukkuumuu",,,,,,,,
masseur,,<h3>Cibra</h3> 1] dhidhiibduu,,,,,,,,
massif,,"<h3>Cibra</h3> 1] tulluu bakka tokkotti baay'atanii jiran, fuguug",,,,,,,,
massive,,"<h3>Maqibsa</h3> 1] guddaa, dhoolbee, jaafoo, hammooyii 2] hedduu, wacaqa",,,,,,,,
mast,,<h3>Cibra</h3> 1] utubaa dheeraa (kan alaabaa irratti fannisan) 2] sibiila dheeraa siigiinaalii reediyoo fi televizyinii tamsaasu,,,,,,,,
mastectomy,,<h3>Cibra</h3> 1] harma dubartii muranii baasuu,,,,,,,,
master,,"<h3>Cibra</h3> 1] namoota isa jalatti hojjetan nama qabu 2] nama ogummaa adda ta'e qabu kan kanneen biraa barsiisu 3] barsisaa 4] digrii lammaffaa (maastireetii) 5] gooftaa, duree",,,,,,,,
Master (ICT),,"<h3>Cibra</h3> 1] Hundataa, Hundataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Master Document (ICT),,"<h3>Cibra</h3> 1] Galmee Hundataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
master file,,<h3>Cibra</h3> 1] faayila dhimmandaa,,,,,,,,
Master Page (ICT),,"<h3>Cibra</h3> 1] Fuula Hundataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Master Record (ICT),,"<h3>Cibra</h3> 1] Kuusaa Hundataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
master-stroke,,<h3>Cibra</h3> 1] tarkaanfii amansiisaa,,,,,,,,
masterful,,"<h3>Maqibsa</h3> 1] kanneen biroo to'annaa isaa jala galchuu kan danda'u. 2] baay'ee gaarii, dinqi, daandeetti ol'aanaa kan qabu",,,,,,,,
masterly,,"<h3>Maqibsa</h3> 1] ogeessa, baay'ee dandeettii kan qabu",,,,,,,,
mastermind,,"<h3>Cibra</h3> 1] nama baay'ee beekaa ta'e, qareessa",,,,,,,,
masterpiece,,<h3>Cibra</h3> 1] hojii sadarkaa ol'aanaa (bu'aa artiitii),,,,,,,,
masterwork,,<h3>Cibra</h3> 1] hojii sadarkaa ol'aanaa (bu'aa artiitiif),,,,,,,,
mastery,,"<h3>Cibra</h3> 1] beekumsa guutuu, dandeettii ol'aanaa 2] to'annaa",,,,,,,,
masthead,,"<h3>Cibra</h3> 1] maqaa gaazexaa, fuullee irratti",,,,,,,,
mastic,,<h3>Cibra</h3> 1] hancaa mukaa vaarnishii tolchuuf fayyadu,,,,,,,,
masticate,,<h3>Gochima</h3> 1] alanfachuu,,,,,,,,
mastication,,<h3>Cibra</h3> 1] alantannaa,,,,,,,,
mastitis,,<h3>Cibra</h3> 1] dhukkuba harmi yookin muchi akka dhita'u godhu,,,,,,,,
masturbate,,<h3>Cibra</h3> 1] seggaa rukutuu,,,,,,,,
mat,,"<h3>Cibra</h3> 1] kicuu, gasaa, afata, afaa",,,,,,,,
matador,,<h3>Cibra</h3> 1] nama walaansoodhaan sangaa ajjeesu,,,,,,,,
match,,"<h3>Cibra</h3> 1] toomaashoo, kibiriitii 2] dorgonmmii, morki",,,,,,,,
Match (ICT),,"<h3>Gochima</h3> 1] Firoomsi, Kibiriitii, Toomaashoo, Walsimaa, Firoomsi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Match Case (ICT),,"<h3>Cibra</h3> 1] Walsima Qubee, (ICT, Jecha Kompiitaraa)",,,,,,,,
matchbox,,<h3>Cibra</h3> 1] saanduqa kibiritii,,,,,,,,
matchmaker,,<h3>Cibra</h3> 1] namoota wal fuudhuu barbaadan nama walitti fidu,,,,,,,,
matchwood,,<h3>Cibra</h3> 1] hanxaxii,,,,,,,,
mate,,"<h3>Cibra</h3> 1] michuu 2] gargaaraa (hojii ogummaa irratti) 3] haadha manaa, abbaa manaa",,,,,,,,
material,,"<h3>Cibra</h3> 1] meeshaa, waan waanti tokko ittiin hojjetamu",,,,,,,,
material culture,,<h3>Cibra</h3> 1] wantaadaa,,,,,,,,
material noun,,<h3>Cibra</h3> 1] maqaa meeshaa,,,,,,,,
material value,,<h3>Cibra</h3> 1] sona mi'aa/meeshaa,,,,,,,,
materialism,,<h3>Cibra</h3> 1] waa'ee afuuraa dhiisanii qabeenyaa baay'ifachuu irratti xiyyeeffachuu,,,,,,,,
materialize,,"<h3>Gochima</h3> 1] hojmaatessuu, hojii irra oolchuu",,,,,,,,
maternal,,"<h3>Maqibsa</h3> 1] kan haadhaa, akka haadhaa",,,,,,,,
maternity,,<h3>Cibra</h3> 1] haadhummaa,,,,,,,,
matey,,<h3>Maqibsa</h3> 1] kan michummaa,,,,,,,,
mathematician,,<h3>Cibra</h3> 1] hayyuu herregaa,,,,,,,,
mathematics,,<h3>Cibra</h3> 1] herrega,,,,,,,,
maths,,<h3>Cibra</h3> 1] herrega,,,,,,,,
matinee,,<h3>Cibra</h3> 1] tiyaatira waaree booda agarsiifamu,,,,,,,,
mating,,"<h3>Cibra</h3> 1] gaana, gaansa",,,,,,,,
matins,,<h3>Cibra</h3> 1] kadhata ganamaa,,,,,,,,
matriarch,,<h3>Cibra</h3> 1] bulchituu maatii yookiin gosaa (dubartii),,,,,,,,
matriarchal,,<h3>Maqibsa</h3> 1] maatii yookin gosa dubartiidhaan bulu,,,,,,,,
matricide,,<h3>Cibra</h3> 1] haadha ofii ajjeesuu 2] nama haadha isaa ajjeesu,,,,,,,,
matriculation,,<h3>Cibra</h3> 1] qormaata kan xumura barnoota sadarkaa lammaffaa,,,,,,,,
matrimonial,,"<h3>Maqibsa</h3> 1] kan fuudhaa fi heerumaa, kan gaa'ilaa",,,,,,,,
matrimony,,"<h3>Cibra</h3> 1] heeruma, fuudha, gaa'ila",,,,,,,,
matrix,,<h3>Cibra</h3> 1] guddinaa fi jijjiirama waan tokkoo haalawwan to'atan 2] caasaa (kan karaafi kkf) 3] lakkoobsa toora garaagaraatin tarreetffaman (herrega) 4] dhagaa bu'uuraa,,,,,,,,
Matrix (ICT),,"<h3>Cibra</h3> 1] Tarreentaa, Tarreentaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
matron,,<h3>Cibra</h3> 1] ittigaafatamtuu mana barnootaa (kan dhimma keessaatti) 2] ittigaafatamtuu narsootaa (hospitaalatti) 3] dubartii guddoo (kan heerumte),,,,,,,,
matronly,,<h3>Maqibsa</h3> 1] amala dubartii guddoo kan qabdu,,,,,,,,
matt,,"<h3>Maqibsa</h3> 1] kan hin dammaqne, baay'ee kan hin ifne, dimismisa",,,,,,,,
Matte (ICT),,"<h3>Cibra</h3> 1] Mattee, Mattee, (ICT, Jecha Kompiitaraa)",,,,,,,,
matter,,"<h3>Cibra</h3> 1] haajaa, dhimma, giroo 2] waanta (wantoota)",,,,,,,,
matting,,"<h3>Cibra</h3> 1] gasaa, saaxaraa",,,,,,,,
mattins,,<h3>Cibra</h3> 1] kadhata ganamaa,,,,,,,,
mattock,,<h3>Cibra</h3> 1] gasoo,,,,,,,,
mattress,,"<h3>Cibra</h3> 1] kefaa, darsaa",,,,,,,,
mature,,"<h3>Maqibsa</h3> 1] guutumaatti kan guddate (samuudhaanis, qaamaanis) <h3>Gochima</h3> 1] bilchaachuu",,,,,,,,
maturity,,<h3>Cibra</h3> 1] bilchina,,,,,,,,
maudlin,,"<h3>Maqibsa</h3> 1] gowwaa, nama ofiif gaddu (wayita machaa' u), jufunfula",,,,,,,,
maul,,"<h3>Gochima</h3> 1] hanqooquu, qanxooxuu, qimmiiduu, qonxoxuu",,,,,,,,
Mauritania,,"<h3>Maqqofee</h3> 1] Moortaaniyaa, maqaa biyyaati.",,,,,,,,
Mauritius,,"<h3>Maqqofee</h3> 1] Moortiwus, maqaa biyyaati.",,,,,,,,
mausoleum,,<h3>Cibra</h3> 1] jaarmaa/gamoo kan reeffi namoota bebbeekamoo yookiin kan maatii tokkichaa akka keessa taa'uuf ijaarame.,,,,,,,,
mauve,,<h3>Cibra</h3> 1] gosa halluu,,,,,,,,
maverick,,<h3>Cibra</h3> 1] nama yaada mataa isaatii ta'e qabu kan kanneen birootiin hin qajeelfamne,,,,,,,,
maw,,<h3>Cibra</h3> 1] mar'ummaan loonii,,,,,,,,
mawkish,,<h3>Cibra</h3> 1] karaa dadhabaa yookiin gowwaa ta'een nama gaddisisuu kan yaalu,,,,,,,,
Max (ICT),,"<h3>Cibra</h3> 1] Olaa, Olaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
maxilla,,"<h3>Cibra</h3> 1] mangaagaa gara olii, illee",,,,,,,,
maxim,,"<h3>Cibra</h3> 1] mammaaksa, makmaaksa",,,,,,,,
maximize,,<h3>Gochima</h3> 1] dabaluu (hanga danda'ame),,,,,,,,
Maximize (ICT),,"<h3>Gochima</h3> 1] Oleessi, Oleessi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Maximize Button (ICT),,"<h3>Gochima</h3> 1] Qabduu Oleessii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Maximized Window (ICT),,"<h3>Cibra</h3> 1] Fooddaa Oleeffamaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
maximum,,<h3>Cibra</h3> 1] ol'aanaa,,,,,,,,
May,,<h3>Cibra</h3> 1] Caamsaa,,,,,,,,
may,,"<h3>Gochima</h3> 1] tarii, ta'uu ni danda'a akka jechuu",,,,,,,,
maybe,,"<h3>Xumibsa</h3> 1] tarii, ta'uu ni danda'a, feetu",,,,,,,,
mayday,,<h3>Cibra</h3> 1] siigiinaalii reediyoo duniyaalessa gargaarsa yoo barbaadan kan doonii fi xiyyaarri itti fayyadaman,,,,,,,,
mayfly,,<h3>Cibra</h3> 1] ilbiisa kan ji'a Caamsaa keessa mul'attee baddu,,,,,,,,
mayhem,,"<h3>Cibra</h3> 1] jequmsa, goolii, hokkara",,,,,,,,
mayonnaise,,<h3>Cibra</h3> 1] maayooniis,,,,,,,,
mayor,,"<h3>Cibra</h3> 1] bulchaa magaalaa, kantiibaa",,,,,,,,
mayoress,,<h3>Cibra</h3> 1] kantiibaa (dubartii),,,,,,,,
maypole,,<h3>Cibra</h3> 1] guyyaa ayyaana dafqaan bultootaatti utubaa namooti itti naanna'anii sirban,,,,,,,,
maze,,<h3>Cibra</h3> 1] daandii wal xaxaa kan karaan ittiin seenanii fi ba'an hin beekamne,,,,,,,,
Mbabane,,<h3>Maqqofee</h3> 1] magaalaa guddoo biyya Iswiizlaand,,,,,,,,
me (pron),,"<h3>Bamaqaa</h3> 1] ana, ani, anaaf",,,,,,,,
me folk,,<h3>Cibra</h3> 1] miseensa maatii (warra dhiiraa),,,,,,,,
mead,,"<h3>Cibra</h3> 1] booka, daadhii",,,,,,,,
meadow,,<h3>Cibra</h3> 1] araddee,,,,,,,,
meagre,,"<h3>Maqibsa</h3> 1] xinnoo, waan qulqullinni isaa sadarkaa gad aanaa",,,,,,,,
meal,,"<h3>Cibra</h3> 1] nyaata, soorata",,,,,,,,
mealtime,,<h3>Cibra</h3> 1] yeroo nyaata itti nyaatan,,,,,,,,
mealy-mouthed,,"<h3>Maqibsa</h3> 1] hagbeessaa, kan haasaan isaa ifa hin taane",,,,,,,,
mean,,"<h3>Maqibsa</h3> 1] doqna, sassataa, sassattuu 2] hamtuu, hamaa <h3>Cibra</h3> 1] bu'aa gidduu galeessaa (herrega keessatti)",,,,,,,,
meander,,"<h3>Gochima</h3> 1] luffisuu, hojii malee oli gad labuu 2] yaa'uu (bishaaniif)",,,,,,,,
meaning,,"<h3>Cibra</h3> 1] hiika, hiikkaa",,,,,,,,
meaningful,,<h3>Maqibsa</h3> 1] dhaamsa/hiika kan qabu,,,,,,,,
meaningless,,<h3>Maqibsa</h3> 1] hiika maleessa 2] sababa yookiin kaayyoo kan hin qabne,,,,,,,,
meanness,,<h3>Cibra</h3> 1] doqnummaa,,,,,,,,
means,,"<h3>Cibra</h3> 1] mala, karaa 2] mallaqa, qabeenyaa",,,,,,,,
meantime,,"<h3>Xumibsa</h3> 1] gidduutti, achumaan, hangasitti",,,,,,,,
meanwhile,,"<h3>Maqibsa</h3> 1] gidduutti, achumaan, hangasitti",,,,,,,,
measles,,"<h3>Cibra</h3> 1] shiftoo, gifira, sugugufuu, yagudufii",,,,,,,,
measly,,<h3>Maqibsa</h3> 1] baay'ee xinnoo,,,,,,,,
measurable,,<h3>Maqibsa</h3> 1] lakkaa'amuu yookiin safaramuu kan danda'u 2] ifatti kan mul'atu,,,,,,,,
measure,,"<h3>Gochima</h3> 1] madaaluu, safaruu, lakkaa'uu, bikkuu <h3>Cibra</h3> 1] tarkaanfii 2] madaala",,,,,,,,
Measure (ICT),,"<h3>Gochima</h3> 1] Madaaluu, Safari, Safaruu, Safari, (ICT, Jecha Kompiitaraa)",,,,,,,,
measured,,<h3>Maqibsa</h3> 1] of eeggannaad haan kan filatame 2] kan deemsa isaa sirriitti eege,,,,,,,,
measurement,,<h3>Cibra</h3> 1] bikkooma,,,,,,,,
Measurement (ICT),,"<h3>Cibra</h3> 1] Bikkooma, Safara, Safaruu, Safara, (ICT, Jecha Kompiitaraa)",,,,,,,,
meat,,<h3>Cibra</h3> 1] foon,,,,,,,,
meatball,,<h3>Cibra</h3> 1] foon qumaanqummeefamee kalaankalame,,,,,,,,
meaty,,<h3>Maqibsa</h3> 1] kan foonni itti baay'ate 2] akka foonii 3] wantoota gaggaarii kan qabu,,,,,,,,
Mecca,,<h3>Cibra</h3> 1] magaalaa Saaw'ud Arabiiyaa keessatti argamtu wiirtuu afuuraa kan amantii lslaamaa (bakka Mahammad raajichi itti dhalatan) 2] bakka namooti hedduun daaw'achuu barbaadan,,,,,,,,
mecca aloe,,<h3>Cibra</h3> 1] argeessa,,,,,,,,
mechanic,,<h3>Cibra</h3> 1] makaanikii,,,,,,,,
mechanical,,<h3>Maqibsa</h3> 1] mashiiniidhaan kan hojjetu 2] utuu itti hin yaadiin waan hojjetamu,,,,,,,,
Mechanical Mouse (ICT),,"<h3>Cibra</h3> 1] Hantuuttee Harkaansochee, (ICT, Jecha Kompiitaraa)",,,,,,,,
mechanics,,<h3>Cibra</h3> 1] saayinsii waa'ee sochii fi humnaa qu'atu 2] qu'annoo waa'ee maashinii irratti xiyyeeffatu,,,,,,,,
mechanism,,"<h3>Cibra</h3> 1] mala, karaa, tooftaa 2] wantoota sosocho'an (maashinii keessaa)",,,,,,,,
mechanize,,<h3>Gochima</h3> 1] hojii harkaan hojjetamaa ture gara maashinitti jijjiiruu,,,,,,,,
medal,,"<h3>Cibra</h3> 1] medaaliyaa, nishaanii",,,,,,,,
medallion,,<h3>Cibra</h3> 1] medaaliyaa guddaa,,,,,,,,
meddle,,<h3>Gochima</h3> 1] waan nama hin galchine keessa galuu,,,,,,,,
meddler,,<h3>Cibra</h3> 1] waan keessa isa hin galchine keessa galuu nama jaallatu,,,,,,,,
meddlesome,,<h3>Cibra</h3> 1] waan keessa isa hin galchine keessa galuu nama jaallatu,,,,,,,,
meddling,,<h3>Cibra</h3> 1] waan tokko keessa seenuu/galuu,,,,,,,,
media,,"<h3>Cibra</h3> 1] meeshaalee sab-quunnamtii (waan akka reediiyoo, gaazexaa, televizyinii fi kkf)",,,,,,,,
Media (ICT),,"<h3>Cibra</h3> 1] Miidiyaa, Meeshaalee Sabqunnamtii, (ICT, Jecha Kompiitaraa)",,,,,,,,
median,,<h3>Maqibsa</h3> 1] giddu-galeessa 2] gidduu kan hulluuqu,,,,,,,,
mediate,,<h3>Gochima</h3> 1] jaarsummaaf gidduu deemuu (araarsuuf),,,,,,,,
mediation,,<h3>Cibra</h3> 1] jaarsummaa,,,,,,,,
mediator,,"<h3>Cibra</h3> 1] magantaa, araarsaa",,,,,,,,
medic,,<h3>Cibra</h3> 1] barataa wal'aansaa (doktarii),,,,,,,,
medical,,<h3>Maqibsa</h3> 1] kan wal'aansaa,,,,,,,,
medicament,,<h3>Cibra</h3> 1] qoricha,,,,,,,,
Medicare,,<h3>Cibra</h3> 1] sagantaa mootummaa Ameeriikaa kan tajaajila wal'aansaa kennuu irratti xiyyeeffate (kees. namoota dulloomaniit),,,,,,,,
medicate,,<h3>Gochima</h3> 1] wal'aanuu,,,,,,,,
medicated,,<h3>Maqibsa</h3> 1] qorichummaa kan qabu,,,,,,,,
medication,,"<h3>Cibra</h3> 1] qoricha, dawaa",,,,,,,,
medicinal,,"<h3>Cibra</h3> 1] qorichummaa kan qabu, fayyisuu kan danda'u",,,,,,,,
medicine,,"<h3>Cibra</h3> 1] dawaa, qoricha, qorsa",,,,,,,,
medico,,<h3>Cibra</h3> 1] barataa wal'aansa fayyaa (doktarii),,,,,,,,
medievalism,,<h3>Cibra</h3> 1] bara giduu-galeessaa (bara 1100-1400),,,,,,,,
mediocre,,"<h3>Maqibsa</h3> 1] gaarii kan hin taane, kan sadarkaan gad-aanaa",,,,,,,,
mediocrity,,"<h3>Cibra</h3> 1] baay'ee gaariis, baay'ee gadhees ta'uu dhabuu.",,,,,,,,
meditate,,<h3>Gochima</h3> 1] qalbii ofii walitti sassaabanii gad fageessanii yaaduu,,,,,,,,
meditative,,<h3>Maqibsa</h3> 1] kan yaada keessa seene yookiin yaadaan liqimsamee jiru.,,,,,,,,
medium,,<h3>Maqibsa</h3> 1] walakkeessa <h3>Cibra</h3> 1] meeshaa yookiin mala waanti tokko ittiin ibsamu yookiin uummata bira ga'u (waan akka televizyiniif kkf),,,,,,,,
Medium (ICT),,"<h3>Cibra</h3> 1] Giddugaleessa, Walakkeessa, Giddugaleessa, (ICT, Jecha Kompiitaraa)",,,,,,,,
medley,,<h3>Cibra</h3> 1] dorgommii daakaa (kan gartuu) 2] makaa,,,,,,,,
meek,,"<h3>Maqibsa</h3> 1] abboomamaa, abboomamtuu, danboobaa, danboobduu, kasoo",,,,,,,,
meet,,"<h3>Gochima</h3> 1] quunnamuu, wal arguu",,,,,,,,
meeting,,"<h3>Cibra</h3> 1] walga'ii, kora",,,,,,,,
Meeting Request (ICT),,"<h3>Cibra</h3> 1] Gaafii Walga’ii, (ICT, Jecha Kompiitaraa)",,,,,,,,
mega,,"<h3>Maqibsa</h3> 1] guddaa, jaafoo",,,,,,,,
megabyte,,<h3>Cibra</h3> 1] baayitii miliyoonii tokko,,,,,,,,
megadeath,,<h3>Cibra</h3> 1] du'a namoota miiliiyoonii tokkoo,,,,,,,,
megalith,,<h3>Cibra</h3> 1] dhagaa guddaa (bara durii akka siidaatti kan dhaabamu),,,,,,,,
megalithic,,<h3>Maqibsa</h3> 1] dhagaa guddaa irraa kan tolfame,,,,,,,,
megalomania,,"<h3>Cibra</h3> 1] aangoon isaa yookiin matumti isaayyuu baay'isee ol'aanaa akka ta'etti nama yaadu, nama of guguddisu",,,,,,,,
megaphone,,"<h3>Cibra</h3> 1] noolaa, sagalee guddiftuu",,,,,,,,
megastar,,<h3>Cibra</h3> 1] nama tiyaatirii/fiilimii beekamaa (taatoota keessaa),,,,,,,,
megaton,,<h3>Cibra</h3> 1] dhuka'aa humna ol'aanaa qabu,,,,,,,,
melamine,,<h3>Cibra</h3> 1] laastikii meeshaalee hawwaguuf oolu,,,,,,,,
melancholia,,<h3>Cibra</h3> 1] dhukkuba sammuu sababa gadda jabaatiin namatti dhufu,,,,,,,,
melancholic,,"<h3>Maqibsa</h3> 1] gom'aa, gommituu, nama baay'ee gaddu",,,,,,,,
melancholy,,<h3>Cibra</h3> 1] gadda guddaa,,,,,,,,
melanin,,<h3>Cibra</h3> 1] waan gurraacha gogaa fi rifeensa keessatti mul'atu (yeroo ifi aduu ba'u bifi gogaa akka jijiiramu kan godhu),,,,,,,,
melanoma,,<h3>Cibra</h3> 1] waan finniisa fakkaatu gugurraacha gogaa irratti ba'u (kan kaansarii namatti fiduu danda'u),,,,,,,,
meld,,"<h3>Gochima</h3> 1] walitti dabaluu, walitti makuu",,,,,,,,
melee,,"<h3>Cibra</h3> 1] dirrisuu, wal faana yaa'uu",,,,,,,,
mellifluous,,<h3>Maqibsa</h3> 1] sagalee namatti tolu,,,,,,,,
mellow,,"<h3>Maqibsa</h3> 1] bilchaataa (ija mukaatiif) 2] bareedaa, gammachiisaa (halluu, sagalee) 3] barnoota yookiin muuxannoo irraa ogummaa kan gonfate 4] machii wajjin wal qabatee kan xinnoo gammachuun itti dhaga'amu",,,,,,,,
mellow mead,,<h3>Cibra</h3> 1] daadhii birzii,,,,,,,,
melodious,,<h3>Maqibsa</h3> 1] yeedaloo bareedaa kan qabu,,,,,,,,
melodrama,,<h3>Cibra</h3> 1] diraamaa qaibii namaa hawwatu garuu kan raajayeessi itti baay'ate,,,,,,,,
melody,,<h3>Cibra</h3> 1] yeedaloo,,,,,,,,
melon,,"<h3>Cibra</h3> 1] luxxee, habaaba",,,,,,,,
melt,,<h3>Gochima</h3> 1] baquu 2] xammi'uu 3] nami tokko jaalalaan akka garaan isaa laafu taasisuu,,,,,,,,
melting-pot,,"<h3>Cibra</h3> 1] bakka namooti sanyiidhaan, ilaalchaan, amantii fi kk fakkaataniin garaagara ta'an wal ta'anii walii wajjin jiraatan",,,,,,,,
member,,<h3>Cibra</h3> 1] miseensa,,,,,,,,
Members (ICT),,"<h3>Cibra</h3> 1] Miseensota, Miseensota, (ICT, Jecha Kompiitaraa)",,,,,,,,
membership,,<h3>Cibra</h3> 1] miseensummaa,,,,,,,,
membrane,,"<h3>Cibra</h3> 1] qoofiraa, meembireenii",,,,,,,,
memento,,<h3>Cibra</h3> 1] meeshaa yaadannoodhaaf kenname,,,,,,,,
memo,,"<h3>Cibra</h3> 1] yaadannoo, hubachiiftu (katabbiidhaan)",,,,,,,,
Memo (ICT),,"<h3>Cibra</h3> 1] Yaadannoo, Yaadannoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
memoir,,<h3>Cibra</h3> 1] seenaa kan mataa ofii kan bifa kitaabaatiin barreeffame 2] seenaa namaa (waan beekan irratti hundaa'uudhaan kan barreessan),,,,,,,,
memorabilia,,<h3>Cibra</h3> 1] meeshaalee bakka garaagaraatii walitti gabamani bakka tokko kaa'aman (kan nama beekamaa),,,,,,,,
memorable,,<h3>Maqibsa</h3> 1] salphaatti yaadachuun kan danda'amu,,,,,,,,
memorandum,,"<h3>Cibra</h3> 1] katabbii yaadannoo gabaabduu, hubachiiftuu 2] wulii, waliigaltee",,,,,,,,
memorial,,"<h3>Cibra</h3> 1] siidaa, dhaabbata yookiin sagantaa yaadannoo, kistaana (kan nama du'e yaadachuuf tolfamu)",,,,,,,,
memorize,,"<h3>Gochima</h3> 1] yaadachuu, sammuutti qabachuu",,,,,,,,
memory,,"<h3>Cibra</h3> 1] birminyii, qaabata 2] golee komputarii bakka odeeffannoon itti kuusamu",,,,,,,,
Memory (ICT),,"<h3>Cibra</h3> 1] Birminyii, Qaabata, Kuufannoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
menace,,"<h3>Gochima</h3> 1] sossodaachisuu, roorrisuu, kakachuu",,,,,,,,
menacing,,"<h3>Maqibsa</h3> 1] sodaachisaa, kan namatti kakatu, roorrisaa",,,,,,,,
menage,,<h3>Cibra</h3> 1] miseensa maatii,,,,,,,,
menagerie,,<h3>Cibra</h3> 1] bineelda/neefkaa gosa garaagaraa bakka tokkotti walitti qabaman (kan biyyoota garaagaraatti agarsiifaman),,,,,,,,
mend,,"<h3>Gochima</h3> 1] suphuu, tolchuu",,,,,,,,
mendacious,,"<h3>Maqibsa</h3> 1] kijibduu, sobduu",,,,,,,,
mendacity,,"<h3>Cibra</h3> 1] kijiba, soba, dhara",,,,,,,,
mender,,<h3>Cibra</h3> 1] suphituu,,,,,,,,
mendicant,,<h3>Cibra</h3> 1] kadhattuu,,,,,,,,
mending,,"<h3>Cibra</h3> 1] suphuu, erbuu (kees. wayyaa)",,,,,,,,
menial,,"<h3>Maqibsa</h3> 1] hojii hagasmara ogummaa hin barbaachisne <h3>Cibra</h3> 1] ashkara, tajaajiltuu",,,,,,,,
meningitis,,<h3>Cibra</h3> 1] mananjaaytisii,,,,,,,,
menopause,,<h3>Cibra</h3> 1] yeroo dubartiin laguu arguu itti dhaabdu (gara umuri waggaa shnantamaa irratti),,,,,,,,
menorah,,"<h3>Cibra</h3> 1] (Judizimii) menooraa, baattuu ibsaa/dungoo qulqulluu kan dungoo torba qabatu. (Mana qulqullummaa Yerusaalem keessatti)",,,,,,,,
menses,,"<h3>Cibra</h3> 1] laguu, makama, adafii",,,,,,,,
menstruate,,<h3>Gochima</h3> 1] dhangala'uu laguu,,,,,,,,
menstruation,,"<h3>Cibra</h3> 1] makama, laguu, adafii",,,,,,,,
mensuration,,<h3>Cibra</h3> 1] saayinsii safaraa,,,,,,,,
menswear,,<h3>Cibra</h3> 1] wayyaa dhiiraa,,,,,,,,
mental,,<h3>Maqibsa</h3> 1] kan sammuu,,,,,,,,
mentality,,<h3>Cibra</h3> 1] akkaataa nami tokkoo waa itti yaadu,,,,,,,,
mentally,,<h3>Xumibsa</h3> 1] sammuu keessatti,,,,,,,,
mention,,"<h3>Gochima</h3> 1] eeruu, tuquu",,,,,,,,
mentor,,<h3>Cibra</h3> 1] ogeessa namoota muuxannoo hin qabnef gorsa kennu,,,,,,,,
menu,,"<h3>Cibra</h3> 1] tarreeffama nyaataa, meenoo",,,,,,,,
Menu (ICT),,"<h3>Cibra</h3> 1] Baafataa, Baafata, (ICT, Jecha Kompiitaraa)",,,,,,,,
Menu Bar (ICT),,"<h3>Cibra</h3> 1] Kabala Baafataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Menu Button (ICT),,"<h3>Cibra</h3> 1] Qabduu Baafataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Menu Item (ICT),,"<h3>Cibra</h3> 1] Qabiyyee Baafataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Menu Name (ICT),,"<h3>Cibra</h3> 1] Maqaa Baafataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Menu Title (ICT),,"<h3>Cibra</h3> 1] Matduree Baafataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Mephistophelian,,"<h3>Maqibsa</h3> 1] kan seexana fakkaatu, hamaa, gara jabeessa",,,,,,,,
mercantile,,"<h3>Maqibsa</h3> 1] kan daldalaa, kan daldaltootaa",,,,,,,,
